"Released","Genre","Casts","Duration","Country","Production","Title"
"2024-06-08","Drama, Comedy","Aliocha Schneider, Marko Mandič, Katarina Stegnar, Stane Tomažin, Mila Bezjak","122 min","Croatia, France, Italy, Norway, Serbia, Slovenia","Incipit film, Incitus Films, Living Pictures, Tomsa Films, Monoo, Wolfgang & Dolly","Family Therapy"
"2024-06-26","Comedy, Drama","Jean-Benoît Ugeux, Rosemary Standley, Anna Turluc'h, Éléonore Saintagnan, Wayne Standley","70 min","Belgium, France","Michigan Films, Ecce Films, RTBF, Shelter Prod, Théâtre National de Marseille La Criée, CNC, Région Bretagne, Taxshelter. be, Tax Shelter du Gouvernement Fédéral Belge, Radio Télévision Belge Francophone, Tax Shelter du Gouvernement Fédéral Belge, Centre National de la Cinématographie","Camping du Lac"
"2025-03-01","Documentary","Eiga Matsuo, Nao Yoshigai, Hayato Nagasaki, Mikie Nishihara, Mitsuo Matsunaga","83 min","Japan","Trixta","Underground"
"2024-09-13","Drama","Thinley Lhamo, Loten Namling, Tsering Lhamo Gurung, Karma Wangyal Gurung, Tenzing Dalha","150 min","France, Hong Kong, Nepal, Norway, Qatar, Taiwan, Turkey, United States of America","Ape&Bjørn, Shooney Films, Aaru Production, ZK Films, Yi Tiao Long Hu Bao, Bangdel & Shakya Production, DFI, Catherine Dussart Productions, Catherine Dussart Productions (CDP), Doha Film Institute","Shambhala"
"2024-11-27","Music, Romance, Drama, Comedy, Fantasy","Alma Jodorowsky, Elodie Barthels, Bilal Hassani, Asia Argento, Gio Ventura","115 min","Belgium, France","Les Films du Poisson, Wrong Men, ARTE France Cinéma, Faliro House Productions, Wrong Men North","Queens of Drama"
"2024-09-05","Documentary","N/A","18 min","Cambodia, Canada, China","N/A","Notes of a Crocodile"
"2024-08-23","Horror","Hana Kondo, Fusako Urabe, Ray Inomata, Zen Kajihara, Kokoro Morita","108 min","Japan","Showgate, 幻燈社, TFC, Genco, VAP, Hakuhodo DY Music & Pictures, Studio LeLe, Tohokushinsha Film Corporation, GENCO","House of Sayuri"
"2025-03-19","Drama","Mohamed Ali Ben Jemaa, Ala Benhamad, Hela Ayed, Yassmine Dimassi, Badis Galaoui","123 min","France, Italy, Qatar, Saudi Arabia, Tunisia","Dolce Vita Films, Cinétéléfilms, Dorje Film, 13 Prods, CineWaves Films","Aicha"
"2024-04-07","Thriller","Mike Markoff, Rucka Rucka Ali, Janine Romney, Todd Wilber, NJ Brown","100 min","United States of America","N/A","Simp"
"2025-06-05","Comedy, Mystery, Thriller","Abhishek Bachchan, Johnny Lever, Jacqueline Fernandez, Fardeen Khan, Sanjay Dutt","163 min","India, United Kingdom","Nadiadwala Grandson Entertainment, Pen Studios, Apple & Burberry Pictures","Housefull 5"
"2025-04-03","Crime, Thriller, Drama","Nantawooti Boonrapsap, Itkron Pungkiatrussamee, Jinjett Wattanasin, Chulachak Chakrabongse, Wittaya Injan","125 min","Thailand","Jungka Bangkok, Karman Line","The Stone"
"2025-07-24","Family, Comedy, Crime, Adventure, Animation","Craig Robinson, Richard Ayoade, Danielle Brooks, Sam Rockwell, Anthony Ramos","104 min","United States of America","DreamWorks Animation, Universal Pictures","The Bad Guys 2"
"2025-07-31","Thriller, Action, Crime","Taron Egerton, John Carroll Lynch, Rob Yang, Ana Sophia Heger, David Lyons","120 min","United States of America","Fifth Season, Makeready, Super Frog, Waypoint Entertainment","She Rides Shotgun"
"2025-07-27","Horror, Science Fiction","Jim Johnson, Zeke Jones, Brandon Routh, Mena Suvari, Vic Stagliano","104 min","United States of America, United Kingdom, United Arab Emirates","Interstellar Entertainment, Room 101, AGC Studios, Stone Buffalo Entertainment, Amongst Giants, Sinister Studios, Image Nation Abu Dhabi, Imagenation Abu Dhabi FZ","Ick"
"2024-08-23","Documentary","Vladimir Zelenskiy, Richard Branson, Barack Obama, Mary Robinson,","94 min","Ireland","Break Out Pictures, LOOSEHORSE, Fís Éireann/Screen Ireland, Bórd Scannán na hÉireann","Mrs Robinson"
"2025-07-31","Comedy","Marc Maron,","72 min","United States of America","Avalon Television, Avalon Television","Marc Maron: Panicked"
"2025-06-20","Comedy, Drama","Mahendra Singh Bisht, Gopi Krishna Varma, Ayush Bhansali, Happy Ranajit, Rishabh Jain","155 min","India","Aamir Khan Productions","Sitaare Zameen Par"
"2024-06-21","Action, Thriller, Crime","Levent İnal, Batuhan Büyükacaroğlu, Doğan Barış Yaşar, Furkan R. Demirel, Özgül Koşar","98 min","Turkey","Inter Yapım, Mo Film","Saýara"
"2024-11-21","Drama","Susanne Wolff, Ulrich Matthes, Andreas Lust, Walfriede Schmitt, Mathilde Bundschuh","97 min","Germany, Switzerland","Weydemann Bros., Dschoint Ventschr Filmproduktion, SWR, SRG SSR, ARTE, SR, SRF, Saarländischer Rundfunk, SSR SRG Idée Suisse, Dschoint Ventschr Filmproduktion AG, Südwestrundfunk","Milk Teeth"
"2025-01-09","Comedy","Giorgio Colangeli, Simone Montedoro, Angelo Duro, Matilde Piana, Marilù Pipitone","90 min","Italy","Indiana Production, Vision Distribution, Indiana Production Company","I Am the End of the World"
"1979-07-11","Action","Susan Clark, Ava Gardner, Hilary Farr, Donald Pilon, John Friesen","106 min","Canada, United States of America","Astral Films, Canadian Film Development Corporation, Canadian Film Development Corporation (CFDC)","City on Fire"
"2007-11-30","Drama","Tom Carey, Chandra West, Grace Fulton, Jamie Draven, Tony Devon","165 min","United States of America","Badland Corporation","Badland"
"2011-11-03","Horror","Philip Hersh, Henley Hii, Susan Leong, Benjamin Lim, Lawrence Koh","78 min","Malaysia, Singapore","Gorylah Pictures, Clover Films, Grand Brilliance, MM2 Entertainment","23:59"
"2025-07-04","Family, Drama","N/A","139 min","India","Shanthi Talkies","3BHK"
"2025-04-04","Horror","Charlotte Coleman, LJ Hamilton, Alina Desmond, Natasha Tosini, Theresa Shangazhike","78 min","United Kingdom","August Bound Productions","Hook"
"2025-04-18","Horror","N/A","100 min","United States of America, United Kingdom","N/A","Guardian"
"2025-01-29","Drama, Fantasy, Horror, Thriller","Andreas Pliatsikas, Robert J Morgalo, Arina Oz,","99 min","United States of America","Parched Productions","Greet Your Demons"
"2025-04-08","Horror, Thriller, Action","Jarrod Beck, Daniel Annone, Marquita Goings, Morgan Robertson, Percy Bell","91 min","United States of America","Uproar Pictures","Gates of Flesh"
"2024-08-25","Horror, Thriller","Sarah Jane Duncan, Laurence R. Harvey, Elle O'Hara, Johnny Vivash, Michaela Longden","96 min","United States of America","N/A","Cara"
"2025-09-25","Horror","Bradford Thomas, April Consalo, Myles Linzey, Nate Wise, Andrew Moreski","101 min","United States of America","Melty Media","Cannibal Mukbang"
"2025-02-18","Horror, Western","N/A","114 min","United States of America","Broom Horse Pictures, Old Tombstone Studios, Old Tombstone Studios","Blood in Them Hills"
"2023-10-20","Horror","Nana Gouvea, Sarah Schoofs, Erik Endsley, Robert Asencio, Ian Whitt","120 min","United States of America","N/A","Bishop's Cove"
"2024-03-14","Action, Drama, Thriller","Luca Molinari, Sedona Wagner, Nina Wyss, Ina Hout, Lloyd P-White","94 min","Switzerland","Steepfaceproductions, The Hub Media","September Babies"
"2025-06-27","Drama, Comedy","Danny Diaz, Natalie Rotter-Laitman, Eva Victor, Lucas Hedges, Lucien Spelman","103 min","United States of America, France","Pastel, Big Beach, Tango Entertainment, High Frequency Entertainment, Case Study Films, Charades, AF Films, PASTEL, Tango Entertainment","Sorry, Baby"
"2022-09-07","Thriller, Mystery","Karlijn Sileghem, Onno Van Gelder, Recep Yağızoğlu, Ilse De Rauw, Emmy Leemans","90 min","Belgium","La Maison Imaginaire, Leyal Film, Everstory Productions, Cinearte","River"
"2011-03-08","Crime, Drama","Jessica McNamee, Les Chantery, Oliver Ackland,","15 min","Australia","N/A","50-50"
"2025-04-24","Drama","Ginevra Francesconi, Thony, Barbara Chiesa, Antonio Fornari, Stefano Accorsi","103 min","Italy","Rodeo Drive, Mic, Rai Cinema, RAI Cinema, Ministero per i Beni e le Attività Culturali (MiBAC), Rodeo Drive","Una figlia"
"2025-06-03","Thriller","N/A","145 min","United States of America","N/A","TKO"
"2025-04-18","Drama, Western","Dodie Brown, Darby Hinton, Bailey Chase, Barry Corbin, Buck Taylor","104 min","United States of America","New Albany Films, Purdie Distribution","Sod and Stubble"
"2022-10-02","Thriller, Drama","Nick Heyman, Shelby Sulak, Matt Bushell, Scotty Tovar, Sterling Macer Jr","86 min","United States of America","N/A","Sheeps Clothing"
"2023-12-08","Horror","Kaya Coleman, David Mitchum Brown, Scarlett Sperduto, Trey Anderson, Michelle Damis","76 min","United States of America","Rotting Press","Santa Isn't Real"
"2025-07-23","Action, Adventure, Fantasy","Chae Soo-bin, Ahn Hyo-seop, Jung Sung-il, Kwon Eun-seong, Shin Seung-ho","117 min","South Korea","MYM Entertainment, Realies Pictures, SmilegateRealies, The Present Company","Omniscient Reader: The Prophecy"
"2023-03-25","Drama","Per Kjerstad, Kjartan Rumpsfeld, Stig Henrik Hoff, Ketil Høegh, Ellen Dorrit Petersen","113 min","Norway","Rein Film, Evil Doghouse Lillehammer AS","Longing for Today"
"2020-09-17","Drama","Jamiyka Jones, Ethan Suplee, Jackson Robert Scott, Brenda Currin, Jonathan Rosenthal","96 min","United States of America","Mill House Motion Pictures, Paperclip","Gossamer Folds"
"2022-03-24","Documentary","N/A","98 min","Switzerland","Christian Frei Filmproductions, SRG SSR, Rise and Shine! Productions, SSR SRG Idée Suisse","Girl Gang"
"2024-08-10","Documentary","Gheorghe Hagi, Nicolae Ceaușescu, Ilie Năstase,","71 min","Romania","Saga Film, Saga Film","Eight Postcards from Utopia"
"2025-04-04","Crime, Mystery, Thriller","Blanca Suárez, Aria Bedmar, Fernando Cayo, Victor Palmero, Cosimo Fusco","76 min","Germany, Spain","La Charito Films, Nadcon Film","The Cavern Crimes"
"2025-06-06","Crime, Thriller, Drama","Marc Menchaca, Christian Convery, Elia Monte-Brown, Peter McRobbie, Jason Schuchman","116 min","United States of America","Yale Productions, Mandalay Pictures, Post Film","Barron's Cove"
"2025-06-03","Thriller","N/A","84 min","United States of America","N/A","The Ultimate Vendetta"
"2025-06-05","Music","Brendan Yates, Daniel Fang, Franz Lyons, Pat McCrory, Meg Mills","55 min","United States of America","N/A","Turnstile: Never Enough"
"2023-06-15","Drama","Hella Völker, Lucia Burba, Jule Zimmer, Patrick Stauffenberg, Leon Faix","81 min","Germany","N/A","Sanitatem"
"2024-07-25","Documentary","Ramana Athreya, Gendan Marphew, Mansi Mungee,","82 min","India, United States of America","Sandbox Films, Metamorphosis Films Junction, Sandbox Films","Nocturnes"
"2024-03-10","Drama, Fantasy, Horror","Kai Cech, Lawrence Kao, Jonathan Medina,","79 min","United States of America","N/A","Ba"
"2025-04-25","Romance, Drama","Cynthia Cheston, Kamieda Emika, Gomoto Naoya, Christopher McCombs, Kaori Takeshita","110 min","Japan","Tokyo Cowboys","Aichaku"
"2023-03-24","Drama","Santi Prego, Xosé Manuel Esperante, Isabel Naveira, Lidia Veiga, E.R. Cunha ""Tatán""","100 min","Spain","Matriuska Producciones, Avalon, Elastica Films, Ringo Media, Avalon P.C.","Matria"
"2023-12-05","Drama","Fred Nii Amugi, Rosemary Zimu, Gideon Kojo Boakye, Darlyn Adu, Chris Attoh","98 min","United States of America, Ghana","aFactory Entertainment, Silver Lining Entertainment","Nine"
"2024-09-20","Animation, Romance","Yuuma Uchida, Masatomo Nakazawa, Taito Ban, Takuya Eguchi, Shintarou Asanuma","80 min","Japan","Aniplex, Lerche, Shinshokan","given the Movie: To the Sea"
"2023-09-07","Drama","Milena Dreißig, Andreas Brandt, Christina Große, Karsten Mielke, Florian Anderer","124 min","Germany","Wood Water Films, ZDF","Alaska"
"2025-06-06","Documentary","N/A","90 min","Denmark","Pipeline Production","A Dangerous Boy"
"2024-06-07","N/A","Juan Carlos Torres, Luis Vegas, Axel Shuarma, Mauricio Rico, Mónika Rojas","136 min","Mexico","Mil Nubes-Cine","Demons at Dawn"
"2023-12-15","Drama","Nicharee Boonmuang, Molywon Phantarak, Rawipa Srisanguan, Pakorn Rujiravilai, Suree Kewee","93 min","Thailand","Diversion, Error Brothers Ltd., Mitout Sound Films, a.e.y. space, Asian Cinema Fund","Solids by the Seashore"
"2025-04-20","Documentary","Jan Kotschak, Jean-Jacques Beineix, Rob Reiner, Tomas Bolme, Jonas Bergström","108 min","Germany, United States of America","Sugar Town Filmproduktion, SWR, Untold, Untold, Südwestrundfunk","From Darkness to Light"
"2025-02-21","Documentary","Joe Sacco, Robert Crumb, Molly Crabapple, J. Hoberman, Chris Ware","98 min","United States of America","American Masters Pictures, Foothill Productions, Jewish Story Partners, Particle Productions","Art Spiegelman: Disaster Is My Muse"
"2024-09-13","Drama, Crime","Dennis L.A. White, Michelle I. Lamb, Bailey MB, Quavo, Javen Lewis","89 min","United States of America","N/A","The Waterboyz"
"2024-03-21","Drama","James Douglas-Quarcoopome, Charles Craddock, Chloe Van Harding, Georgia Macleod, Ella Dunlop","80 min","United Kingdom","N/A","Straight Through Crew"
"2024-09-29","Comedy","Horatio Gould,","48 min","United Kingdom","Gone Wild Media","Horatio Gould: Sweet Prince"
"2025-07-02","TV Movie, Drama, Thriller","Zak Santiago, Linda Minard, Kayla Deorksen, James Tupper, Linden Banks","88 min","United States of America, Canada","Lighthouse Pictures, Fezziwig Studios","If I Run"
"2024-10-17","Drama","Mikael Kaaber, Elín Sif Halldórsdóttir, Katla Njálsdóttir, Gunnar Hrafn Kristjánsdóttir, Ágúst Örn B. Wigum","80 min","Croatia, France, Iceland, Netherlands","Compass Films, Halibut, Revolver Amsterdam, MP Film Production, Eaux-Vives Productions, Jour2Fête","When the Light Breaks"
"2025-03-31","Horror, Thriller","Arif Alfiansyah, Yono Bakrie, Sadana Agung, Vonny Anggraini, Dewi Pakis","133 min","Indonesia","MD Pictures, EST Studios","Sugar Mill"
"2025-01-01","Drama","Alicia Eriksson, Naomi Lamp, Kristjan Üksküla, Grigoriy Dobrygin, Chulpan Khamatova","99 min","Estonia, Finland, France, Germany, Greece, Sweden","Les films du Worso, Elle Driver, ARTE France Cinéma, Fox in the Snow Films, Amrion, asterisk*, Making Movies, Senator Film, Playground, Senator Film Produktion, Making Movies Oy, Playground, Asterisk","Quiet Life"
"2025-07-04","Music, Comedy, Drama","Grace Antony, Anjali, Sreeja Ravi, Balaji Sakthivel, Shiva","130 min","India","JioHotstar, Seven Seas and Seven Miles Production, GKS Bros Production","Parandhu Po"
"2024-07-20","Documentary","Josep Julien, Albert Pla, Yolanda Sey, Violeta Rodríguez, Laura Roig","70 min","Spain","Potenza Producciones","The Revolution of the Muses"
"2024-11-19","Documentary, History","Elsa Lepoivre, Ernest B. Schoedsack, Merian C. Cooper, Billy Crystal, Fay Wray","61 min","France","Andaman Films, ARTE, ARTE","King Kong: Monster and Myth"
"2024-05-17","Documentary","Fabrice Aragno, Jean-Luc Godard, Jean-Paul Battaggia,","36 min","France, Japan","Ecran Noir productions, ARTE, nekojarashi, Roadstead, ARTE","Exposé du film annonce du film ""Scénario"""
"2024-12-04","Drama","Mina Gajovic, Victoire Kong, Zakaria Bouti, Anne-Agathe Brilleaud, Jade Cavoué","77 min","France","Petit Film, Deuxieme Ligne Films","100,000,000,000,000"
"2024-09-18","Drama","Kim Min-hee, Ha Seong-guk, Kwon Hae-hyo, Kang So-yi, Park Mi-so","111 min","South Korea","Jeonwonsa Film","By the Stream"
"2025-07-27","Comedy, Action, Crime","Keke Palmer, Pete Davidson, Jack Kesy, Ismael Cruz Córdova, Leati Joseph Anoa'i","94 min","United States of America","The Story Company, Davis Entertainment, Eddie Murphy Productions, Amazon MGM Studios","The Pickup"
"2025-06-12","Drama","Daphne Patakia, Tonia Sotiropoulou, Ioko Ioannis Kotidis, Michail Tabakakis, Dimitris Kapouranis","104 min","Belgium, France, Greece, Germany","Tripode Productions, Blackbird Production, Hélicotronc, Achtung Panda!","Our Wildest Days"
"2024-10-16","Drama","Pierre Gervais, Tijmen Govaerts, Stefan Gota, Ahlaam Teghadouini, Julliette De Hous","100 min","Belgium, Sweden","De Wereldvrede, Les Films du Fleuve, Film i Väst, HOBAB","Julie Keeps Quiet"
"2024-10-18","Drama, Romance","Bryan Batt, Marisa Tomei, Sean Mahon, Marco Pigossi, Bill Irwin","105 min","United States of America","LD Entertainment, Best Place Production, Liddell Entertainment","High Tide"
"2024-06-14","Drama, Action","Pooja Bose, Anirban Bhattacharya, Sohini Sarkar, Arpan Ghoshal, Kaushik Banerjee","154 min","India","Jio Studios, SVF Entertainment","Athhoi"
"2025-04-30","Romance, Action, Drama, Crime","Suriya, Remya Suresh, Shriya Saran, Prakash Raj, Udhayabanu Mageswaran","162 min","India","2D Entertainment, Stone Bench Creations","Retro"
"2025-02-14","Comedy, Drama","Jagjeet Sandhu, Tania, Raghveer Boli, Guru Bamrah,","160 min","India","Jagjeet Sandhu Films","Illti"
"2025-04-15","Horror, Mystery","Ted Barton, Mina Sundwall, Ethan Herisse, Richard Ellis, Christian Antidormi","93 min","United States of America","Nighthawks Entertainment","Call of the Void"
"2025-04-29","Horror, Comedy","Russell Sperberg, Ronnie Adrian, Miguel Burgos, Shannon Dee, Peyton Grufik","93 min","United States of America","N/A","Mysterious Ways"
"2025-03-09","Science Fiction","Christina Ashford, Astrid Olofsson, Daisy Porter,","82 min","United Kingdom","N/A","Mundane"
"2025-02-28","Horror","Joe Walker, Lisa Wilcox, Paul T. Taylor, Christy Foushee, Mikel Dawkins","81 min","United States of America","N/A","Into The Gravel Pit"
"2025-05-30","Thriller, Crime","Darshan Jariwala, Abhimanyu Singh, Manu Singh, Girish Kulkarni, Yashpal Sharma","87 min","India","Aryan Brothers Entertainment Film","Interrogation"
"2023-08-25","Drama","Irene Escolar, Gonzalo Herrero, Mercedes Unzeta, Julia León, Bárbara Lennie","85 min","Spain","Los Ilusos Films, Elastica Films","The Girls Are Alright"
"2024-01-14","Documentary","Alexander Lukashenko, Sviatlana Tsikhanouskaya,","94 min","United Kingdom","Roast Beef Productions","The Accidental President"
"2025-04-11","Horror","Mark Collier, Amanda Jane York, Jeff Turner, Ben Keenan, Mary Eva Sharp","87 min","United Kingdom","ChampDog Films, ITN Studios, ITN Studios","Leprechaun: The Beginning"
